CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
00000,"$100,000 under $200,000",1801455,1391346,1179896,4918548,1696708,245317061,1617017,190429362,1390974,2567138,721022,3266794,652105,2209426,375603,8751706,11201,623239,2428152,229838,6169926,438530,17738942,191899,1765758,285657,5456056,43206,771552,1628193,56822345,1539820,13791242,69513,218378,1425769,7219913,1627625,21496587,1324750,23584553,1450495,4966771,1796414,169416094,860461,1169674,131289,168036,378482,496337,175897,100445,4782,6164,0,0,0,0,172388,384114,1787158,29403538,1791505,30958447,550614,2869017,1245492,6503430
00000,"$200,000 or more",636198,533760,471625,1841683,668551,333873277,558787,179282333,575197,8038560,424519,13754209,395351,10510917,157758,12788550,6835,416761,45102810,80037,4779338,121068,6683080,39647,361780,91561,2060240,56430,2047161,628596,64369308,608449,27341435,15104,92286,571385,6167508,628347,34081071,505237,13737982,579639,9451120,634413,262904192,291155,1625873,49621,109896,117,108,61832,32612,0,0,0,0,0,0,526985,5396725,634113,72184540,634699,73659069,303813,7520076,328565,8933853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90001,,"20,342","4,877","16,680","53,836","23,654","492,447","17,343","421,322","2,518","1,172",202,"1,314",146,"1,193","3,577","34,336",0,194,545,140,"1,432",921,"10,851","2,400","17,543",308,"1,929",0,0,"2,774","51,190","1,682","4,135",924,"1,146","2,047","6,153","2,754","13,008","2,078","23,089","1,869","3,829","11,234","166,135","6,890","6,202",96,77,"4,825","4,043",691,466,"9,710","13,588","8,237","22,522","7,593","18,868",41,172,"6,865","15,835","9,854","21,019","1,560","2,348","18,401","57,777"
90001,"$1 under $25,000",13145,2056,10630,31581,13463,183062,10447,143089,902,262,60,44,41,17,2968,26802,0,61,155,47,261,421,3229,1422,9850,56,79,0,0,568,8347,157,120,340,210,416,1067,558,1568,441,4642,248,347,4530,22269,2334,877,**,**,1381,443,121,45,7033,9186,6246,18785,5848,15609,**,**,2539,1481,5228,5384,918,514,11860,34565
90001,"$25,000 under $50,000",5539,1944,4673,16974,7822,191039,5302,175475,1019,390,70,104,50,36,486,5154,0,64,0,55,378,309,3658,752,5992,159,672,0,0,1271,21596,755,953,452,538,925,2906,1263,5080,946,10212,878,1514,5056,72767,3524,3365,40,25,2610,2223,408,294,2490,4171,1991,3737,1745,3259,0,0,2865,5282,3138,6141,374,555,5155,17509
90001,"$50,000 under $75,000",1251,624,1038,3960,1784,74868,1210,69091,402,55,50,15,22,6,83,1082,0,47,144,38,793,126,2075,174,1308,58,683,0,0,642,12898,509,1314,132,398,483,1326,640,3397,480,5271,512,1230,1244,41865,795,1471,34,31,649,1059,114,90,187,231,0,0,0,0,**,**,1065,4274,1090,4492,174,386,1075,3835
90001,"$75,000 under $100,000",299,184,251,977,440,25416,290,22978,141,112,**,**,33,1134,40,1298,0,**,**,**,**,45,1208,52,393,35,495,0,0,207,5090,187,804,**,**,155,465,207,1498,156,2048,166,433,297,15881,183,367,22,21,145,266,48,37,**,**,0,0,0,0,**,**,289,2062,290,2146,51,183,247,1080
90001,"$100,000 under $200,000",108,69,88,344,145,18062,94,10689,54,353,22,1151,**,**,**,**,0,22,246,**,**,20,681,**,**,**,**,0,0,86,3259,74,944,**,**,68,389,86,1465,55,916,65,305,107,13353,54,122,**,**,40,52,**,**,0,0,0,0,0,0,41,172,107,2736,108,2856,43,710,64,788
90001,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90002,,"18,126","3,682","14,105","46,213","20,375","438,935","15,191","371,484","2,090","1,127",173,78,108,38,"3,724","35,769",0,150,201,128,"1,290",903,"13,465","2,010","14,504",306,"1,980",0,0,"2,896","52,996","1,764","3,731",970,"1,020","2,242","6,126","2,875","12,329","2,303","25,436","1,920","4,447","10,089","151,924","6,270","5,784",120,121,"4,072","3,399",637,399,"8,640","11,775","8,413","24,099","7,819","19,912",21,20,"6,255","14,041","9,478","19,613","1,325","1,842","16,527","56,378"
90002,"$1 under $25,000",11581,1462,9097,27281,11691,160209,8981,120605,720,166,45,20,30,5,3110,29066,0,45,229,36,163,364,3313,1252,8346,62,80,0,0,599,9030,175,140,343,209,445,1205,583,1729,479,5508,271,421,3974,20446,2160,864,**,**,1160,374,126,45,6365,8071,6522,20638,6162,16988,**,**,2156,1312,5042,5614,735,415,10576,34661
90002,"$25,000 under $50,000",5037,1486,3867,14328,6570,174761,4775,159291,814,136,60,32,32,22,478,5182,0,56,-8,40,388,317,4659,572,4731,137,655,0,0,1373,23362,815,1062,506,573,1049,2894,1369,5186,1082,11362,908,1821,4612,70377,3189,3226,69,66,2179,1831,365,244,2093,3440,1891,3461,1657,2924,0,0,2780,5282,3084,6159,362,579,4671,16636
90002,"$50,000 under $75,000",1131,521,888,3486,1651,67920,1077,61363,406,150,39,21,26,9,86,670,0,49,-20,52,739,142,3178,150,1141,76,808,0,0,648,13546,533,1362,98,181,522,1402,648,3349,519,5911,519,1444,1126,37184,713,1278,25,26,574,914,111,85,182,264,0,0,0,0,21,20,952,3840,980,4026,143,333,988,3736
90002,"$75,000 under $100,000",283,161,200,859,360,24023,270,20654,104,26,29,5,20,2,50,851,0,**,**,**,**,55,1464,36,286,31,437,0,0,205,4704,181,748,23,57,168,476,204,1395,165,1846,164,484,283,15365,166,330,26,29,134,241,35,25,**,**,0,0,0,0,**,**,273,2029,278,2191,59,285,224,976
90002,"$100,000 under $200,000",94,52,53,259,103,12022,88,9571,46,649,**,**,**,**,**,**,0,**,**,**,**,25,851,**,**,**,**,0,0,71,2354,60,419,**,**,58,149,71,670,58,809,58,277,94,8552,42,86,**,**,25,39,**,**,0,0,0,0,0,0,**,**,94,1578,94,1623,26,230,68,369
90002,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90003,,"25,160","4,852","19,199","64,051","28,162","581,608","20,994","493,325","2,746","1,067",271,170,181,86,"5,392","49,020",0,208,313,172,"1,775","1,148","15,634","2,593","18,678",434,"2,715",0,0,"3,357","61,881","2,007","4,423","1,088","1,170","2,431","6,652","3,298","14,024","2,531","29,291","2,206","5,232","13,515","192,300","8,356","7,291",129,113,"5,480","4,418",833,526,"12,196","16,893","11,404","32,107","10,509","26,477",35,192,"8,099","17,794","12,604","25,313","1,989","2,541","22,799","75,872"
90003,"$1 under $25,000",16671,2058,12758,39449,16849,229882,12955,175890,998,219,81,62,55,28,4551,40045,0,57,-39,78,467,514,4137,1702,11179,69,112,0,0,762,10966,217,168,425,249,523,1255,736,1923,579,6595,345,518,5630,28820,3136,1242,**,**,1690,521,191,70,9130,11802,8969,27624,8395,22668,**,**,2919,1834,7024,7785,1164,687,15150,48268
90003,"$25,000 under $50,000",6677,1961,5092,19225,8878,228915,6307,208699,1109,302,102,55,66,38,659,7401,0,85,32,48,414,410,5983,676,5734,229,1061,0,0,1553,26985,933,1285,513,594,1120,3152,1521,5897,1174,13000,1051,2153,6085,91122,4133,4081,69,54,2933,2511,478,337,2865,4810,2435,4483,2114,3809,0,0,3584,6870,3951,8054,540,834,6126,21718
90003,"$50,000 under $75,000",1416,632,1084,4272,1962,84239,1357,76636,458,199,47,31,31,11,140,1111,0,35,40,46,894,159,3455,167,1262,90,888,0,0,754,15888,601,1639,126,247,562,1585,753,3954,564,6669,588,1706,1407,46859,883,1569,60,59,698,1125,113,81,201,281,0,0,0,0,**,**,1213,4926,1243,5191,204,534,1209,4454
90003,"$75,000 under $100,000",296,151,196,849,379,25056,287,22221,127,74,41,22,29,9,42,463,0,31,280,**,**,65,2059,48,503,46,654,0,0,208,5305,184,731,24,80,167,456,208,1384,157,2198,158,551,294,15856,167,334,**,**,130,214,51,38,**,**,0,0,0,0,35,192,285,2169,288,2251,46,191,250,1091
90003,"$100,000 under $200,000",100,50,69,256,94,13516,88,9879,54,273,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,80,2737,72,600,**,**,59,204,80,866,57,829,64,304,99,9643,37,65,**,**,29,47,**,**,0,0,0,0,0,0,**,**,98,1995,98,2032,35,295,64,341
90003,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90004,,"26,101","6,760","19,452","51,550","17,044","1,451,721","20,881","932,505","6,579","27,422","2,836","30,342","2,522","22,336","6,600","85,756",0,"2,452","54,008",866,"17,274","1,598","30,387","2,563","21,920","1,185","15,451",230,"7,333","5,468","249,599","4,177","76,286","1,060","1,267","3,031","23,363","5,405","102,991","2,709","57,142","4,315","44,663","17,681","914,040","7,104","7,768",168,233,"3,558","3,178",699,435,"5,461","6,969","7,164","14,682","5,576","11,291","1,027","10,008","14,652","204,808","18,378","220,792","5,360","22,341","20,066","74,569"
90004,"$1 under $25,000",13964,2211,10499,24980,8134,181382,9968,132165,1847,1460,582,1055,492,649,4256,33734,0,493,-157,222,1282,476,2940,1248,10120,116,278,24,95,666,11062,217,340,375,246,304,1288,648,2014,265,3605,358,546,5931,35403,2067,780,**,**,853,274,92,33,3894,4849,5732,12110,4435,9255,0,0,4415,3050,7770,8158,2634,1720,10718,23018
90004,"$25,000 under $50,000",6675,1854,4788,14332,5049,233615,6142,202346,1497,1433,452,1338,381,838,1097,11396,0,355,-65,171,1545,378,4364,767,7144,334,2026,**,**,1172,21128,713,1284,365,388,426,1768,1135,3871,396,5522,841,2068,6365,117805,2890,2687,26,19,1790,1586,281,192,1442,1983,1432,2572,1141,2036,**,**,4986,12000,5285,13852,1102,1675,5543,14134
90004,"$50,000 under $75,000",2328,869,1641,4814,1475,141143,2092,117992,948,1133,364,1469,318,907,423,6033,0,298,362,132,1904,264,5447,241,2110,233,2855,27,264,964,20187,771,2701,160,278,421,1995,960,5339,389,6222,761,2034,2287,92302,819,1178,22,26,518,766,104,66,99,105,0,0,0,0,**,**,2185,12697,2227,13781,581,1575,1730,4984
90004,"$75,000 under $100,000",950,439,701,2071,639,81668,837,65112,531,1374,217,1152,199,771,211,3359,0,194,490,71,1686,128,3405,128,1047,138,2341,**,**,631,15537,551,3025,70,150,317,1768,629,5213,282,4705,524,1639,935,55769,359,553,20,26,226,328,58,38,26,32,0,0,0,0,37,74,923,8660,934,9314,258,1083,688,2479
90004,"$100,000 under $200,000",1232,705,970,2795,824,167849,1073,123244,903,2571,513,3654,465,2607,330,9794,0,461,1545,141,3388,213,6683,135,1131,207,4124,43,920,1092,41710,1006,9347,90,205,756,5315,1091,15317,672,14395,947,4128,1214,114934,466,553,37,56,171,224,82,56,**,**,0,0,0,0,208,552,1194,21491,1212,23154,367,2430,859,6106
90004,"$200,000 or more",952,682,853,2558,923,646064,769,291646,853,19451,708,21674,667,16564,283,21440,0,651,51833,129,7469,139,7548,44,368,157,3827,136,6054,943,139975,919,59589,**,**,807,11229,942,71237,705,22693,884,34248,949,497827,503,2017,63,106,0,0,82,50,0,0,0,0,0,0,782,9382,949,146910,950,152533,418,13858,528,23848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90005,,"14,366","3,603","10,575","29,816","10,448","588,052","11,695","392,467","2,854","7,665",850,"26,462",745,"24,924","3,378","37,282",0,841,"27,870",260,"4,208",597,"11,204","1,157","9,606",370,"4,266",53,"1,711","2,155","79,418","1,562","23,996",460,505,"1,108","7,992","2,141","33,585","1,038","20,683","1,562","9,306","9,009","341,766","3,483","3,423",44,55,"1,881","1,506",331,220,"3,694","5,093","4,042","8,101","3,121","6,097",246,"2,818","7,288","65,984","9,391","72,786","2,756","8,457","11,283","30,944"
90005,"$1 under $25,000",8425,1510,6295,16759,6010,110878,6225,84696,978,788,193,235,160,135,2417,19674,0,197,257,80,409,211,1421,612,4649,37,92,20,339,330,5157,116,529,172,101,127,606,321,1386,125,1654,171,301,3271,18708,1105,404,**,**,500,147,41,16,2752,3669,3369,6913,2601,5201,20,23,2448,1609,4394,4601,1437,877,6680,13856
90005,"$25,000 under $50,000",3752,1098,2733,8444,3093,130405,3516,117328,729,806,156,356,133,288,513,6049,0,139,68,58,425,139,1262,327,2994,108,593,**,**,572,9896,347,575,158,166,225,1056,568,2115,212,3036,381,871,3583,65059,1643,1490,**,**,1028,860,163,117,898,1369,673,1188,520,896,**,**,2730,6605,2866,7632,626,1040,3116,7548
90005,"$50,000 under $75,000",1070,393,725,2166,635,64843,989,55414,437,563,140,363,122,238,185,2822,0,132,319,37,494,85,1813,107,996,85,1019,**,**,380,8894,302,1056,70,109,183,925,380,2267,182,3134,291,967,1051,42462,351,556,24,24,220,336,46,32,44,55,0,0,0,0,**,**,1015,5855,1026,6301,283,696,785,2206
90005,"$75,000 under $100,000",452,182,303,867,223,38866,401,31792,216,515,70,466,61,345,82,1738,0,69,58,24,446,51,891,48,411,41,644,**,**,268,6678,227,1242,34,65,132,727,268,2146,123,2170,199,778,446,27429,134,201,**,**,71,101,26,17,**,**,0,0,0,0,**,**,438,4459,444,4790,137,541,314,1428
90005,"$100,000 under $200,000",430,242,311,937,260,56856,374,40851,288,942,142,881,128,601,112,4297,0,150,282,37,1380,77,3053,63,556,61,1115,**,**,373,13601,346,3309,26,64,237,1541,372,5064,222,4570,312,1674,423,39455,138,177,20,31,62,62,30,19,**,**,0,0,0,0,51,126,421,7344,424,8021,168,1066,259,1449
90005,"$200,000 or more",237,178,208,643,227,186204,190,62386,206,4051,149,24161,141,23317,69,2702,0,154,26886,24,1054,34,2764,**,**,38,803,33,1372,232,35192,224,17285,**,**,204,3137,232,20607,174,6119,208,4715,235,148653,112,595,**,**,0,0,25,19,0,0,0,0,0,0,175,2669,236,40112,237,41441,105,4237,129,4457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90006,,"21,578","5,176","17,114","48,381","18,868","514,937","17,483","426,291","2,823","2,072",483,"1,158",385,826,"4,990","47,571",0,481,"2,072",244,"2,364",636,"6,976","1,754","13,174",379,"2,714",0,0,"1,974","42,093","1,271","4,883",572,567,993,"3,720","1,949","9,975","1,003","14,535","1,294","3,247","12,159","203,349","5,592","4,621",60,67,"3,565","2,819",430,277,"7,415","9,860","7,738","17,642","6,271","13,689",63,249,"8,881","24,369","12,692","31,688","3,447","4,171","17,665","45,029"
90006,"$1 under $25,000",14470,2564,11626,30542,11776,193055,10779,146861,1190,654,154,144,113,84,4083,35309,0,149,-224,102,580,288,1822,1150,8167,62,107,0,0,425,6018,137,126,222,130,193,610,415,936,208,2525,208,322,5381,29121,2086,762,**,**,1103,353,91,38,5671,7260,6271,14958,5076,11542,**,**,3717,2352,7255,7645,2263,1288,11759,27363
90006,"$25,000 under $50,000",5416,1802,4221,13735,5613,183783,5103,165568,932,564,141,207,106,160,643,7776,0,131,172,78,734,191,1742,458,3890,184,900,0,0,737,12792,429,639,259,285,330,1143,722,2363,339,4539,474,938,5090,82409,2749,2522,**,**,1942,1678,222,160,1686,2535,1467,2684,1195,2147,0,0,3542,7507,3797,8770,738,1035,4660,13104
90006,"$50,000 under $75,000",1111,490,821,2697,1007,66282,1065,59963,367,310,78,209,68,174,144,1489,0,82,24,34,443,91,1399,103,765,78,875,0,0,378,7648,311,927,55,81,186,652,378,1868,190,2599,290,819,1108,42228,528,854,60,67,379,586,71,46,58,65,0,0,0,0,**,**,1050,5301,1065,5597,258,598,853,2589
90006,"$75,000 under $100,000",320,154,236,751,254,27279,295,22923,156,146,48,177,39,123,54,902,0,50,129,30,607,42,950,43,352,55,832,0,0,218,5281,198,1004,36,71,133,525,218,1667,127,2056,153,441,319,18245,138,224,**,**,96,143,26,19,**,**,0,0,0,0,**,**,313,2700,315,2869,82,360,238,1011
90006,"$100,000 under $200,000",221,137,173,563,194,28287,206,22633,147,223,62,421,59,285,66,2095,0,44,420,**,**,24,1063,**,**,**,**,0,0,179,6209,166,1310,**,**,121,570,179,2006,114,2137,139,526,221,19607,91,259,**,**,45,59,20,14,**,**,0,0,0,0,35,71,219,3461,220,3690,78,423,155,962
90006,"$200,000 or more",40,29,37,93,24,16251,35,8343,31,175,**,**,**,**,**,**,0,25,1551,**,**,**,**,0,0,**,**,0,0,37,4145,30,877,**,**,30,220,37,1135,25,679,30,201,40,11739,**,**,**,**,0,0,0,0,0,0,0,0,0,0,28,178,40,3048,40,3117,28,467,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90007,,"12,539","2,265","8,449","25,425","9,468","306,112","10,639","262,042","1,717",848,326,828,264,514,"2,323","20,566",0,275,633,126,"1,346",500,"6,722","1,134","8,200",229,"1,702",0,0,"2,077","29,813",934,"3,502",375,476,715,"2,319","2,047","9,657",710,"9,843","1,005","2,750","7,575","136,194","3,553","3,308",56,70,"1,941","1,687",332,214,"3,566","4,572","4,116","9,820","3,573","7,985",49,189,"5,706","16,181","7,428","19,343","1,519","2,064","10,655","27,869"
90007,"$1 under $25,000",8106,927,5377,14891,5335,101241,6407,79914,657,201,113,127,89,93,1827,15100,0,80,-64,38,168,229,1505,702,4765,29,38,0,0,868,6181,88,347,155,168,130,360,853,3356,129,1449,156,244,3291,19206,1257,527,**,**,524,170,48,18,2641,3230,3280,8298,2857,6684,0,0,2315,1548,3903,3812,927,479,6822,15745
90007,"$25,000 under $50,000",3206,788,2230,7509,3010,110135,3068,101229,558,200,73,106,51,72,319,2801,0,65,20,38,285,147,1767,322,2508,105,510,0,0,604,8802,321,439,157,179,224,640,593,1825,229,3046,367,851,3065,53601,1696,1663,**,**,1024,882,182,124,870,1273,836,1522,716,1301,**,**,2229,4999,2352,5490,353,480,2849,8322
90007,"$50,000 under $75,000",840,334,575,2058,784,50786,809,46282,273,159,65,199,56,93,101,507,0,62,50,50,893,78,1613,86,737,59,652,0,0,341,7087,286,835,63,129,191,625,339,1689,191,2747,265,724,833,31909,416,737,56,70,288,454,60,43,55,69,0,0,0,0,**,**,782,3967,790,4074,143,277,694,2268
90007,"$75,000 under $100,000",225,126,156,586,218,19137,215,17338,117,32,26,31,24,14,36,267,0,21,57,**,**,23,787,24,190,36,502,0,0,134,3305,123,609,**,**,82,278,134,969,80,1168,109,405,225,12804,115,235,**,**,76,133,42,29,**,**,0,0,0,0,28,42,219,1795,221,1851,43,128,181,869
90007,"$100,000 under $200,000",135,90,89,327,121,17098,119,13539,89,140,49,365,44,242,40,1891,0,47,570,**,**,23,1050,**,**,**,**,0,0,104,3180,92,760,**,**,88,416,102,1151,81,1433,86,315,134,12420,69,146,**,**,29,48,**,**,**,**,0,0,0,0,**,**,134,2266,135,2387,53,700,109,665
90007,"$200,000 or more",27,**,22,54,**,7715,21,3740,23,116,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,26,1258,24,512,**,**,**,**,26,667,**,**,22,211,27,6254,**,**,**,**,0,0,**,**,0,0,0,0,0,0,21,147,27,1606,27,1729,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90008,,"14,853","2,281","9,751","27,776","9,291","624,166","11,551","453,529","3,789","4,065","1,277","3,885","1,038","2,759","3,280","23,549",0,900,"3,119",733,"10,652","2,796","87,057","1,566","13,689","1,449","14,573",41,754,"4,724","129,375","3,538","19,262",940,"1,091","3,454","13,794","4,702","37,048","3,206","50,906","4,074","18,409","10,415","348,064","4,300","4,668",238,261,"2,010","1,921",663,388,"3,273","3,850","4,382","10,914","3,937","8,801",336,"1,520","8,651","55,029","10,474","59,810","2,522","7,370","11,982","37,809"
90008,"$1 under $25,000",7015,422,4350,12614,4448,90818,4908,61480,762,638,236,328,187,175,2012,14900,0,142,65,169,1037,739,7650,826,6262,174,316,21,155,554,9566,150,201,317,203,347,1090,537,1670,316,3751,385,912,2767,16430,1209,563,**,**,357,120,87,35,2499,2890,3589,9664,3289,7768,0,0,1838,1201,3501,3588,638,378,6063,16715
90008,"$25,000 under $50,000",3869,512,2574,7321,2525,140152,3341,115021,829,568,227,381,172,158,518,1937,0,166,-133,137,1259,706,14950,430,4524,439,2445,**,**,1079,19980,651,1114,368,373,620,1980,1074,4009,577,7029,894,2999,3714,73705,1775,2031,52,47,972,914,279,180,699,871,793,1250,648,1033,**,**,2971,7343,3101,7938,693,1066,3152,8952
90008,"$50,000 under $75,000",1840,371,1270,3336,1014,112544,1520,86078,809,716,224,439,173,248,274,1322,0,162,-92,152,1688,538,18419,135,1215,325,3770,**,**,1170,28072,959,2991,167,306,846,3119,1170,7083,785,11226,1034,4206,1808,67469,680,1060,60,58,400,531,137,80,75,89,0,0,0,0,**,**,1734,8989,1759,9440,455,1134,1380,4942
90008,"$75,000 under $100,000",906,298,637,1792,532,78452,739,56365,504,442,187,371,159,212,168,1221,0,145,89,106,1815,329,14449,72,652,200,2813,**,**,755,21041,668,3113,60,132,599,2475,755,6147,547,8582,678,3055,904,49514,297,442,41,36,185,247,70,42,**,**,0,0,0,0,37,52,889,7663,894,7995,257,912,647,2714
